"","State","x1992","x1994","x1996","x1998","x2000","x2002","x2004","x2006","x2008","x2010","code"
"1","Alabama",56.5,64.1,59.8,58,58,55.2,60.6,62.7,66.7,63.2,"AL"
"2","Alaska",39.5,37.4,40.5,37.2,44.3,47.4,44.9,45.8,45.7,46.4,"AK"
"3","Arizona",45.8,47.3,47.9,45,50,46.7,47.7,44.8,51.4,57.9,"AZ"
"4","Arkansas",45.7,48.2,51.5,53.7,52.9,57.2,55.9,56.6,62.5,65.4,"AR"
"5","California",51.4,60.8,66.4,51.3,47.7,51.1,43.7,55.8,65.4,61.7,"CA"
"6","Colorado",51.2,51.7,52.7,54.3,52.8,57.3,57.8,62.9,62.6,61.2,"CO"
"7","Connecticut",57.1,58.6,59.7,64.9,62.2,62.3,61.1,70.4,68,78.7,"CT"
"8","Delaware",57.7,65.1,66.5,62.2,59.9,40.8,54.4,64.1,66.2,47.3,"DE"
"9","Florida",45.4,49.2,50.3,49.5,57.5,55.4,53.5,60.2,58.8,63.1,"FL"
"10","Georgia",55.1,59.4,55.6,60.4,60.4,59.4,64,68.2,69.6,67.7,"GA"
"11","Hawaii",56.1,61.7,62,59.6,59.8,49.8,51.6,59.8,62.3,63.6,"HI"
"12","Idaho",49,48,46.2,47.3,44.8,44.9,47.4,45.7,49.1,45.1,"ID"
"13","Illinois",62.1,63.6,63.9,62.7,59.8,57.4,55.2,60.7,57.4,58.7,"IL"
"14","Indiana",50.5,55,57.9,60.5,60,62.4,59.1,63.4,65.7,65.8,"IN"
"15","Iowa",61.8,64.1,63.8,60.2,64.5,64.3,61.5,60.8,64.3,66.6,"IA"
"16","Kansas",57.3,57.2,61.6,60.9,67.5,54.6,61.2,65.8,65.4,64.7,"KS"
"17","Kentucky",48.9,49.4,52.9,54.7,58.7,62.4,57.4,61.4,60.9,62.9,"KY"
"18","Louisiana",54.2,53.4,54.2,63,59.2,57.6,54.5,65.5,65.3,64.7,"LA"
"19","Maine",48.6,50.4,53.9,55.3,54.3,51.3,49.6,64.6,61.3,56.2,"ME"
"20","Maryland",55.9,55.2,58.2,57.6,54.7,56.5,58.7,65.6,62.9,64.1,"MD"
"21","Massachusetts",59,65.4,70.8,71.5,69,65.1,63.4,71.7,74.6,73.2,"MA"
"22","Michigan",57.5,60.1,58.6,57.9,58.7,51.1,58.8,65.2,59.9,61.9,"MI"
"23","Minnesota",53.6,52.6,53.9,49.1,63.9,62.9,65.3,68.4,69.2,70.9,"MN"
"24","Mississippi",61.9,68.6,63.5,59.7,63.4,65.1,59.9,76.1,77.4,78.8,"MS"
"25","Missouri",48.7,50.8,50.2,54.7,53.4,53.3,52.8,57.1,60,61.4,"MO"
"26","Montana",50.8,54.2,55.5,57.7,54.4,54.7,57.8,58.2,51.8,60.5,"MT"
"27","Nebraska",63.3,60.4,61.7,61,59.3,58.8,59.7,64.5,65.5,69.5,"NE"
"28","Nevada",32.8,37.6,38.7,37.1,40.3,40.4,55.1,52.2,55.6,51.8,"NV"
"29","New Hampshire",56.2,55.6,57.4,59.4,59,56.4,55.4,64.9,63.9,64.3,"NH"
"30","New Jersey",60.9,64.4,65.4,68.8,63.6,62.7,62.8,69.6,71.1,68.6,"NJ"
"31","New Mexico",50.1,53.5,55.7,64.5,58.9,58.5,61.3,70.5,67.7,72.4,"NM"
"32","New York",66.9,69.5,71,71.3,63.9,68.7,67.9,74.4,74.2,68.9,"NY"
"33","North Carolina",50,51,53.8,64.5,65.4,63.6,64.3,65.6,66,64.1,"NC"
"34","North Dakota",65.8,68.2,71,69.5,69.4,73.7,67.6,72.3,67.6,67.4,"ND"
"35","Ohio",50.3,51.4,54.5,55.1,56.1,57.5,52.8,60,62.7,61.5,"OH"
"36","Oklahoma",50.6,49.3,47.6,50.7,49.7,51.2,52.9,59.2,56,60.2,"OK"
"37","Oregon",54.3,57.4,52.6,47.2,51.1,47.6,45.5,47.3,46.5,47.8,"OR"
"38","Pennsylvania",53.8,56.9,56.7,62.3,61.5,59.8,58.9,62.1,63.9,60.9,"PA"
"39","Rhode Island",61.8,65.4,65.1,67.8,65.9,53.4,55.6,54.7,67.4,65.4,"RI"
"40","South Carolina",43.4,58.4,59.1,61.2,66.3,59.6,67,63.9,70.1,68.3,"SC"
"41","South Dakota",51.3,49.9,52,63.9,64,60.9,68.8,71.9,72.1,71.8,"SD"
"42","Tennessee",46.7,53.5,53.8,55.6,62.2,61.8,62,63.5,61.6,62.1,"TN"
"43","Texas",52.5,50.4,54.1,51.2,52.5,53.4,51.9,55.2,56.9,56.2,"TX"
"44","Utah",51.7,55.8,50.8,41.7,38.1,46.1,43.7,47.1,58.5,53.3,"UT"
"45","Vermont",55.8,50.6,47.2,49.8,45.3,45.4,43.4,55.2,48.3,53.5,"VT"
"46","Virginia",51.7,53.3,54.5,56.1,53.1,54.4,57.6,67.2,68.7,63.8,"VA"
"47","Washington",58.4,57.4,58.1,52.2,44.6,43.9,43.4,48,50.7,48.3,"WA"
"48","West Virginia",49.1,49.5,50.1,53.4,52.4,54,53.3,57.8,59,59.2,"WV"
"49","Wisconsin",60.5,59.8,57.7,55.4,57.2,57.9,58.5,61.2,59.1,60.1,"WI"
"50","Wyoming",46.2,52.6,52.8,54.1,52.2,55.1,59,58,59.4,60.4,"WY"
"51","Nation",54.3,57.1,58.5,57.2,56.7,56.6,55.7,61.6,63.3,62.5,"USA"
